,created,text,location,hashtags,location#
0,2019-10-22 01:44:43,None of the contestants got the Final #Jeopardy answer- they must not be familiar with our lovely #Leadville Colora… https://t.co/haIJeGBTTT,,"[Hashtag(Text='Jeopardy'), Hashtag(Text='Leadville')]",0
1,2019-10-30 16:03:08,"Good morning from #Leadville where it’s a toasty 2 degrees. 
(A true heatwave around these parts.)  #cowx #colorado https://t.co/p7NhDkthqF",,"[Hashtag(Text='Leadville'), Hashtag(Text='cowx'), Hashtag(Text='colorado')]",0
2,2019-10-30 03:55:48,"“Leadville Color Coordinating” #skijoring on Harrison Ave in Leadville, CO! It’s wild here. Come join the ride!… https://t.co/sMCMB3GN2j","{'type': 'Point', 'coordinates': [39.2472, -106.292]}",[Hashtag(Text='skijoring')],0
3,2019-10-30 03:47:39,"14,000’ mountain views from  our tiny house the Aspen at @DJWCphoto. Time for cozy cuddles! Rent a Tiny House for F… https://t.co/E883xmDTzr","{'type': 'Point', 'coordinates': [39.2472, -106.292]}",[],0
4,2019-10-29 14:22:12,"Whenever I prepare to crew and pace, I think back to the wonderful experiences of the past. This photo is from paci… https://t.co/JX8Q7GSi93","{'type': 'Point', 'coordinates': [39.08186, -106.38296]}",[],0
0,2019-10-30 07:32:52,i just want some good music and shutdown,,[],1
0,2019-10-30 15:58:35,The ninth month of my pregnancy hit me like a fucking truck. I just woke up one day and EVERYTHING HURT. Only a few more weeks left woohoooo,,[],2
1,2019-10-30 15:49:05,Sold the oz and brought her nails🤧,,[],2
2,2019-10-30 14:26:15,"hear ye! hear ye! 🗣

Munich Mulberry has been out of stock for a few days and i just heard from some of my favorite… https://t.co/pIwg9EY8GH",,[],2
3,2019-10-30 14:12:53,theres really ppl out here who delete their ignored friend request just to send you another one lol,,[],2
4,2019-10-30 12:36:01,My snap broke fucking with fam bam😩,,[],2
5,2019-10-30 11:46:36,"Have a blessed and peaceful day 🙏🤗 @ Wellington, Florida https://t.co/nDTcK9btUR","{'type': 'Point', 'coordinates': [26.6615, -80.2683]}",[],2
0,2019-10-30 03:02:02,Helouuuu👀🔥😍 https://t.co/BnOFEHcsr6,,[],3
1,2019-10-30 02:43:57,Peep the sunburn @papasandbeer https://t.co/i2qt9EAZ4A,,[],3
2,2019-10-30 01:01:08,"Something we should of been doing months ago, getting a fire 🔥 safe zone around the house and the rescue.… https://t.co/kw4vax0ZDM","{'type': 'Point', 'coordinates': [32.09660901, -116.8734169]}",[],3
3,2019-10-30 00:44:00,@GustavoAD15 @SALVADO88432600 Okey.,,[],3
4,2019-10-29 23:37:38,My family are drunk asf tryna eat lobster somewhere in puerto Nuevo 😂😩😩🤣,,[],3
5,2019-10-29 22:27:08,@seg21_ I left earlyyy,,[],3
6,2019-10-29 22:20:14,@ papas with my family,,[],3
7,2019-10-29 22:19:59,I’m drunk lol,,[],3
8,2019-10-29 21:32:26,@_tayyymo very proud of how hard you work on and off the floor. https://t.co/SmBzc2WwfA,,[],3
9,2019-10-29 17:50:49,Let’s ride? https://t.co/ccSALBzKFp,,[],3
10,2019-10-29 17:24:21,"@SoyEsquire Curioso, 
they just upload the seconds where they talk sh!t about the team. Then cut. Of course is when… https://t.co/AQ8DCo2KZC",,[],3
11,2019-10-29 16:59:23,#WGAstaffingboost Highly recommend this lot! https://t.co/CA6Lqe8PKZ,,[Hashtag(Text='WGAstaffingboost')],3
12,2019-10-29 14:37:24,#clypso says #goodmorning 🌞 #buenosdias as she waits for her breakfast. #herculeslives https://t.co/mYUMkH8txz,,"[Hashtag(Text='clypso'), Hashtag(Text='goodmorning'), Hashtag(Text='buenosdias'), Hashtag(Text='herculeslives')]",3
13,2019-10-29 02:12:51,@Svetlan29874057 You will make us all fap,,[],3
14,2019-10-28 23:08:36,@itsginnydi @TheStormSong @JessoLaurus @chiseledlight @CriticalRole @matthewmercer @LauraBaileyVO Sorry I'm new to… https://t.co/ZFKqDef8p5,,[],3
15,2019-10-28 23:06:30,@TheStormSong @itsginnydi @JessoLaurus @chiseledlight @CriticalRole @matthewmercer @LauraBaileyVO My first thought… https://t.co/j93sUjsRy1,,[],3
16,2019-10-28 18:34:12,"I’ve been having some really out there dreams recently, like woah there brain, don’t be calling these people back into your life 😅",,[],3
17,2019-10-28 17:31:48,my cousin is my best friend https://t.co/6UY2TcBmaA,,[],3
18,2019-10-28 16:38:12,Good morning Colorado natives only,,[],3
19,2019-10-28 07:23:09,@sctoscar Okey.,,[],3
20,2019-10-28 06:11:27,Das what I call talking back sunday https://t.co/q1PH1x677b,,[],3
21,2019-10-28 04:40:34,I normally say #goodnight 🌝 #buenosnoches with a photo of my dogs on my bed. Tonight I wanted to thank the… https://t.co/q8wZUJcOc8,"{'type': 'Point', 'coordinates': [32.09433674, -116.86047792]}","[Hashtag(Text='goodnight'), Hashtag(Text='buenosnoches')]",3
22,2019-10-28 03:45:20,@niftygem I love you more,,[],3
23,2019-10-28 02:53:58,"La Costa bella...
My breathtaking neighborhood.

#landscape #pacificocean https://t.co/LwxYtYI5TG",,"[Hashtag(Text='landscape'), Hashtag(Text='pacificocean')]",3
24,2019-10-28 02:50:02,fucking same https://t.co/vfo3kDZKwe,,[],3
25,2019-10-28 01:54:33,@cortes_ns @XoloElvis Lacra.,,[],3
26,2019-10-28 01:43:57,@xCodeh I smoked my self upside down once.,,[],3
27,2019-10-27 21:32:33,I have feelings for you https://t.co/LRaOwNkWkD,,[],3
28,2019-10-27 19:22:34,"Still looking for the beaches down here. Everyone keeps trying to point us to the playas instead, but I’m not convi… https://t.co/Rq6Ye36LC3",,[],3
29,2019-10-27 18:16:25,"I think “Todos hablan, nada saben” speaks so mf loud, shits just explains everything in little words",,[],3
30,2019-10-27 17:21:20,LMAO if I had to read this and roll my eyes so do y’all https://t.co/ugJh69n7Un,,[],3
31,2019-10-27 16:10:03,@justmominit Happy Birthday Baby Girl,,[],3
32,2019-10-27 15:17:37,"Si su mascota se ha visto afectada por los incendios recientes, visite nuestra tienda hoy y vea si podemos brindarl… https://t.co/3SauYWom8n",,[],3
0,2019-10-30 13:49:56,#EasyFire Evacution map. https://t.co/KMYveWQz3Y,,[Hashtag(Text='EasyFire')],4
1,2019-10-30 13:41:07,#EasyFire mandatory evacuation have been ordered.  Visit https://t.co/TqQ6gyJ3Lc to see the exact areas. https://t.co/cOeRPuMii7,,[Hashtag(Text='EasyFire')],4
2,2019-10-30 14:50:25,#EasyFire is approx 200 acres and moving to the west being pushed by the Santa Winds. Mandatory evacs posted on… https://t.co/6RmlliEDaz,,[Hashtag(Text='EasyFire')],4
3,2019-10-30 16:13:04,@TheCyanRollins I’m dead,,[],4
4,2019-10-30 16:11:46,And our school got its annual cancellation due to fires today,,[],4
5,2019-10-30 16:11:37,Isn’t it ironic (and scary!) that our daughter @SophieCrivier is editor in chief of this edition and made this cove… https://t.co/MhlwxwXiaQ,,[],4
6,2019-10-30 16:11:29,@ThatsSoJocelyne @MekahloNBCLA @MSNBC @ronaldreagan40 Homeless people DO live in those hills. It’s well known by locals.,,[],4
0,2019-10-28 22:11:22,@j_adior I would think there are at least 50 million gentlemen who would love to help you with that problem 😉,,[],6
0,2019-10-30 15:59:12,Last day of suicide intervention training 😩😩,,[],7
1,2019-10-30 15:57:05,Also the Sun Belt always delivers. https://t.co/5whHKXbGTK,,[],7
2,2019-10-30 15:54:01,Didn’t think I could love CMC anymore but then: https://t.co/EPJasVTp1S,,[],7
3,2019-10-30 15:42:21,"There’s a new pom in the house! ⠀
⠀
Teal Feather will be a limited run and only available on my website.⠀
⠀
All pom… https://t.co/REMDI5V7Dq","{'type': 'Point', 'coordinates': [47.1412, -122.438]}",[],7
4,2019-10-30 15:39:05,@NotoriousGRC This shit is hilarious when that chocolate slid on by the minions head 🤣,,[],7
5,2019-10-30 15:37:16,Happy #Wednesday Y’all.,,[Hashtag(Text='Wednesday')],7
6,2019-10-30 15:25:32,I’m crying,,[],7
7,2019-10-30 15:18:05,I wanna say it’s fake but then again who knows 🤣  I see  Vicky waited till that ass was grown so she can beat it th… https://t.co/Mayo66eBYZ,,[],7
8,2019-10-30 15:03:43,Washington too damn cold I shoulda stayed my ass in the south lol,,[],7
9,2019-10-30 14:57:40,@tjbatmanzero Nigga what 😂,,[],7
10,2019-10-30 14:56:57,I got chills listening to this 😳 https://t.co/YT6oZxdXcC,,[],7
11,2019-10-30 14:47:25,Men shout at the sight of their kings (or sports stars); shall we offer no loud hosannahs to the Son of David (Char… https://t.co/4rvadqAwbc,,[],7
0,2019-10-28 02:45:29,"Tonight's sunset over Dexter Reservoir in Lowell, Oregon. #sunset #dexterlake #oregonoutdoors #pursuelifeoutdoors @… https://t.co/YrjUe7CqxQ","{'type': 'Point', 'coordinates': [43.92361111, -122.80666667]}","[Hashtag(Text='sunset'), Hashtag(Text='dexterlake'), Hashtag(Text='oregonoutdoors'), Hashtag(Text='pursuelifeoutdoors')]",9
1,2019-10-27 02:13:32,"This is us. 

#momlife #pnw #traumarecovery #thisisus #bewhoyouneeded #melodysworld #georgeunloaded #oregon… https://t.co/8t6AqIq0t1","{'type': 'Point', 'coordinates': [43.9221, -122.797]}","[Hashtag(Text='momlife'), Hashtag(Text='pnw'), Hashtag(Text='traumarecovery'), Hashtag(Text='thisisus'), Hashtag(Text='bewhoyouneeded'), Hashtag(Text='melodysworld'), Hashtag(Text='georgeunloaded'), Hashtag(Text='oregon')]",9
2,2019-10-25 23:37:35,A huge thank you to the students and staff of Jasper Mountain and author Gregory Ahlijian for a wonderful workshop… https://t.co/zIcnoYbxnY,"{'type': 'Point', 'coordinates': [43.9746, -122.86216]}",[],9
3,2019-10-25 22:59:21,One last time for the boy https://t.co/C21vosx5tl,,[],9
4,2019-10-25 20:51:06,What a great way to spend part of my birthday! jennystansbury and I took Maggie to her first pumpkin patch! Lots of… https://t.co/h9gO69kPtm,"{'type': 'Point', 'coordinates': [43.97681325, -122.89739045]}",[],9
5,2019-10-25 20:47:38,What a great way to spend part of my birthday! We took Maggie to her first pumpkin patch! Lots of fun memories made… https://t.co/eLvRhsVBNA,"{'type': 'Point', 'coordinates': [43.97681325, -122.89739045]}",[],9
0,2019-10-30 16:11:12,@JoshCorpuz85 Great shots! I got the BLM robe ~ https://t.co/p75kwpRUmC,,[],12
1,2019-10-30 16:08:07,@cuppy Yiiiiiiikes!,,[],12
2,2019-10-30 16:06:02,I wrote about #49ers executive Paraag Marathe. Opinions varied wildly. https://t.co/QG1S4Q7qY7,,[Hashtag(Text='49ers')],12
0,2019-10-28 23:18:15,"Sheri gave me such Belle vibes I loved it! If you didn’t know Belle is my fav Disney princess 👰🏻 

erinicollee Capt… https://t.co/mTZJZbinIw","{'type': 'Point', 'coordinates': [39.76417, -120.62306]}",[],13
0,2019-10-24 02:47:01,"Falls Creek

Michael Thaxton Photography 
https://t.co/1zWUBGL13K

#photography #photographer #photooftheday #photo… https://t.co/DD75ahaaJY","{'type': 'Point', 'coordinates': [46.53030451, -123.51836026]}","[Hashtag(Text='photography'), Hashtag(Text='photographer'), Hashtag(Text='photooftheday'), Hashtag(Text='photo')]",15
0,2019-10-26 00:47:25,#frikin #beautiful #gewurztraminer giantheadwinery #delicious😋 @ The Cottage At Marten Beach https://t.co/LexudK4us5,"{'type': 'Point', 'coordinates': [55.5036893, -114.9242916]}","[Hashtag(Text='frikin'), Hashtag(Text='beautiful'), Hashtag(Text='gewurztraminer'), Hashtag(Text='delicious')]",17
0,2019-10-28 16:55:09,"@mojeanevans You never made an argument.  You simply attempted to raise fears wrt Socialism.
You also have not answ… https://t.co/jdpAnRdk24",,[],18
1,2019-10-28 15:25:41,"@mojeanevans How is it that your faith allowed for “Obama was born in Kenya” or “Obama is a Muslim.”  Both were,  i… https://t.co/r8AzCsHRIj",,[],18
2,2019-10-28 15:06:47,"@mojeanevans Oh,it is very real.  People like Steven Miller and Matt Gaetz cannot wait to get their brown shirts on… https://t.co/qxiIWBh7KO",,[],18
3,2019-10-28 15:01:58,@repdottieb4mo Republicans want to bring Fascism to the United States.  This is far far truer than that Democrats w… https://t.co/YEm8bj6Go8,,[],18
4,2019-10-27 03:37:58,Having spent a week together in our little camper in Northern BritishColumbia; temp about freezing and lots of rain… https://t.co/eMbcEaHIs0,,[],18
5,2019-10-27 03:22:46,@RGreggKeller Do I want to know what Tiki bars are?,,[],18
