,created,text,location,hashtags,locationcoor
0,2019-11-01 14:03:00,“Stepping up” into November with WOD 20.4! Couldn’t hide from those clean and jerks even if we tried. 5am class fin… https://t.co/6ZxBz09Igk,,[],"28.002,-97.501,10mi"
1,2019-11-01 13:33:02,@Miller_WB Had the privilege to work with some of those varsity girls at @stxbballcamp this summer. Great group of… https://t.co/CkwqABxQjT,,[],"28.002,-97.501,10mi"
0,2019-11-01 16:28:14,@RachelCapitano @EdmundCapitano Saturday at 3:30! Go Noles!,,[],"26.427,-80.506,10mi"
1,2019-11-01 15:41:39,@criterionchannl This is beautiful!!!!,,[],"26.427,-80.506,10mi"
2,2019-11-01 14:36:05,@EdmundCapitano Better watch it Capitano! You are coming to Doak and my NOLES are ready! This ain’t your year buddy. https://t.co/WZDD0MT0ve,,[],"26.427,-80.506,10mi"
3,2019-11-01 12:09:19,It just keeps getting worse.... https://t.co/GRp35LpF6t,,[],"26.427,-80.506,10mi"
4,2019-11-01 11:41:59,"Have you ever done this?  If not, join me. This is my newest post on the #blog Take The 30 Day Gratitude Project Ch… https://t.co/Yjef7rvMi1",,[Hashtag(Text='blog')],"26.427,-80.506,10mi"
5,2019-11-01 04:38:38,@colbertlateshow great get with Nancy Pelosi. And great interview. Love love love your show but what is going on wi… https://t.co/1eeNmHlk4d,,[],"26.427,-80.506,10mi"
6,2019-11-01 04:00:56,I want to invite anyone that would like to attend our DECA member induction ceremony on November 7th! Please suppor… https://t.co/9lhCJJcd5P,,[],"26.427,-80.506,10mi"
7,2019-11-01 02:09:56,"@NYGovCuomo @realDonaldTrump What if we don’t want him? Like, at all? Just another #FloridaMan #StayAwayDonald #ImpeachTrump",,"[Hashtag(Text='FloridaMan'), Hashtag(Text='StayAwayDonald'), Hashtag(Text='ImpeachTrump')]","26.427,-80.506,10mi"
8,2019-11-01 01:37:03,Happy Halloween! #delray #delraybeach #urgentcare #doctor #physician #expressdocs #heartfelthelp #florida #soflo… https://t.co/QNC6jH88ZS,"{'type': 'Point', 'coordinates': [26.4526774, -80.2048156]}","[Hashtag(Text='delray'), Hashtag(Text='delraybeach'), Hashtag(Text='urgentcare'), Hashtag(Text='doctor'), Hashtag(Text='physician'), Hashtag(Text='expressdocs'), Hashtag(Text='heartfelthelp'), Hashtag(Text='florida'), Hashtag(Text='soflo')]","26.427,-80.506,10mi"
9,2019-11-01 00:14:47,@AOC Read it right-side up now.,,[],"26.427,-80.506,10mi"
10,2019-11-01 00:14:01,@justinamash You're a fool. Just convert your R for a D... your obviously wanting and begging for the D.,,[],"26.427,-80.506,10mi"
11,2019-11-01 00:05:44,@JessaJessJ I’m sorry for your loss 💔😔💔 sending hugs your way ❤️❤️❤️,,[],"26.427,-80.506,10mi"
12,2019-10-31 22:54:29,"@MiamiHerald @AP Best stays Best $$$,oh yea",,[],"26.427,-80.506,10mi"
13,2019-10-31 20:41:29,@CashApp maybe if I win I will forgot I lost $200 using your app https://t.co/PIfnDR1KA4,,[],"26.427,-80.506,10mi"
14,2019-10-31 20:36:03,@StimulusPkg822 @computerbux Sounds like DCGD will fill all of the voids listed in that article. Patience is going to payoff big time. IMO,,[],"26.427,-80.506,10mi"
15,2019-10-31 19:40:29,@MMFlint Not to mention it looks like felon Georhe Papadopolous had a hand it to clear the path for his bogus bid on her seat,,[],"26.427,-80.506,10mi"
16,2019-10-31 19:36:43,homens https://t.co/Zg3dzBta86,,[],"26.427,-80.506,10mi"
17,2019-10-31 19:26:49,@1776Stonewall I saw a similar sign. CHILDREN AT PLAY?? Which play???,,[],"26.427,-80.506,10mi"
18,2019-10-31 19:23:05,Integrity and morality and justice...together their aroma is intoxicating https://t.co/JeUgeuuZXT,,[],"26.427,-80.506,10mi"
19,2019-10-31 19:13:28,@RepSpeier One of the most powerful and classy tweets ever!!! You rock Rep. Speier,,[],"26.427,-80.506,10mi"
20,2019-10-31 18:33:33,@catturd2 Pretty rich for you to call anyone “foolish” when you said that a US Congresswoman just VOTED on an ILLEGAL impeachment!!,,[],"26.427,-80.506,10mi"
