,created,text,location,hashtags,locationcoor
0,2019-10-26 23:59:25,Another show in Mexico! This time Velorio Boyz in Aguascalientes! 🌊🌊🌊  #velorio #mexicotour #aguascalientes @ Aguas… https://t.co/1j45Fe1VhG,"{'type': 'Point', 'coordinates': [32.2817, -115.1128]}","[Hashtag(Text='velorio'), Hashtag(Text='mexicotour'), Hashtag(Text='aguascalientes')]","32.148,-115.087,10mi"
1,2019-10-25 13:20:03,aa6f26a600p4A943,"{'type': 'Point', 'coordinates': [32.0387, -115.2237]}",[],"32.148,-115.087,10mi"
0,2019-11-02 22:34:51,"Don't be shy. Score a job like ""ASST STORE MGR in NEWMAN, CA"" at Dollar General Corporation by asking for referrals… https://t.co/KBmM0CmAUN","{'type': 'Point', 'coordinates': [37.3099708, -121.0185927]}",[],"37.416,-121.087,10mi"
1,2019-11-02 22:27:15,I like seeing my team winnin✌🏼💯,,[],"37.416,-121.087,10mi"
2,2019-11-02 22:16:51,YOURE LYING https://t.co/BziiMCeThH,,[],"37.416,-121.087,10mi"
3,2019-11-02 21:04:35,I can now start shopping since I found out baby’s gender this morning 🤗 #LoveTheTiaLife,,[Hashtag(Text='LoveTheTiaLife')],"37.416,-121.087,10mi"
4,2019-11-02 20:28:29,Why lie to my face when I know the truth,,[],"37.416,-121.087,10mi"
5,2019-11-02 18:43:39,U know u have done something right when ur sister calls to tell u ur niece is teaching her 4h group how to properly catch a chicken 😂😂😂😂,,[],"37.416,-121.087,10mi"
6,2019-11-02 18:42:17,"If you're looking for work in #Patterson, CA, check out this #Sales job via the link in our bio: Store Counter Sales at O'Reilly Auto Parts","{'type': 'Point', 'coordinates': [37.4637672, -121.1243469]}","[Hashtag(Text='Patterson'), Hashtag(Text='Sales')]","37.416,-121.087,10mi"
7,2019-11-02 17:51:50,@micafran_ LOL We’re straight comedy when we go out 😂,,[],"37.416,-121.087,10mi"
8,2019-11-02 17:41:05,My side profile could never 😖 https://t.co/uae3c8lScZ,,[],"37.416,-121.087,10mi"
9,2019-11-02 16:48:08,Seriously hate dealing with the bank 🤦🏻‍♀️,,[],"37.416,-121.087,10mi"
0,2019-11-02 20:15:33,KU looks like they’ve never seen the option before.,,[],"37.166,-101.367,10mi"
1,2019-11-02 15:49:37,I deadass lost my new ariat jacket and car keys.. fuckkkk,,[],"37.166,-101.367,10mi"
2,2019-11-02 15:29:53,@Lady_Eagles1   The philosophy that championship teams live by https://t.co/wFcfty9tY1,,[],"37.166,-101.367,10mi"
3,2019-11-02 06:07:52,"although the season didn't end how we wanted, super proud of our boys. had so much fun supporting them, sad it's over💙❤️",,[],"37.166,-101.367,10mi"
4,2019-11-02 03:09:29,Congrats to my Alma mater @UHS_EagleFB https://t.co/hvgOBrd7JH,,[],"37.166,-101.367,10mi"
